               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.027512,            0.019692,           0.0042014,             0.87742,             0.88122,             0.92079,             0.55589,             0.03148,             0.01523,           0.0040783,           0.0041094,           0.0041094,           0.0041094
                  92,            0.027271,            0.019764,           0.0040159,             0.89149,             0.86544,             0.91104,             0.55521,            0.032076,             0.01528,            0.003982,           0.0040201,           0.0040201,           0.0040201
                  93,            0.027301,            0.019501,           0.0040936,             0.85128,             0.90872,             0.91691,             0.56326,            0.031633,             0.01488,           0.0039045,           0.0039314,           0.0039314,           0.0039314
                  94,            0.027474,            0.019858,           0.0041888,             0.92167,             0.82987,             0.92563,             0.56518,             0.03148,            0.015347,           0.0035789,           0.0038434,           0.0038434,           0.0038434
                  95,            0.026823,            0.019494,           0.0041222,             0.89101,             0.85719,             0.91349,             0.55971,             0.03223,            0.015282,           0.0039848,           0.0037562,           0.0037562,           0.0037562
                  96,            0.027199,            0.019271,           0.0039798,             0.86025,             0.92386,             0.93224,             0.56481,            0.031679,            0.015174,           0.0033978,           0.0036697,           0.0036697,           0.0036697
                  97,            0.026826,            0.019639,           0.0040018,             0.87624,             0.89817,             0.92525,             0.55649,            0.031848,            0.015242,           0.0040608,            0.003584,            0.003584,            0.003584
                  98,            0.026824,            0.019288,           0.0043465,             0.87205,             0.92219,             0.92878,             0.57158,            0.031386,            0.014825,           0.0040162,           0.0034991,           0.0034991,           0.0034991
                  99,            0.026338,            0.019401,            0.003598,             0.88853,             0.87742,             0.92267,             0.56266,            0.031934,             0.01488,           0.0039395,           0.0034152,           0.0034152,           0.0034152
                 100,            0.026101,            0.019143,            0.003661,             0.91361,             0.87696,             0.93035,             0.57457,            0.031234,            0.014678,           0.0042242,           0.0033321,           0.0033321,           0.0033321
                 101,            0.027128,            0.018902,           0.0037499,             0.90626,             0.85934,               0.916,             0.55757,            0.032206,             0.01496,           0.0042742,             0.00325,             0.00325,             0.00325
